,degree
Rana_berlandieri.ASV1076,5
Rana_berlandieri.ASV159,5
Rana_berlandieri.ASV166,5
Rana_berlandieri.ASV182,5
Rana_berlandieri.ASV193,5
Rana_berlandieri.ASV2,5
Rana_berlandieri.ASV229,5
Rana_berlandieri.ASV244,5
Rana_berlandieri.ASV251,5
Rana_berlandieri.ASV308,5
Rana_berlandieri.ASV5,5
Rana_berlandieri.ASV589,5
Rana_berlandieri.ASV731,5
Rana_berlandieri.ASV88,5
Rana_berlandieri.ASV10,4
Rana_berlandieri.ASV113,4
Rana_berlandieri.ASV1136,4
Rana_berlandieri.ASV127,4
Rana_berlandieri.ASV1440,4
Rana_berlandieri.ASV1441,4
Rana_berlandieri.ASV1518,4
Rana_berlandieri.ASV1759,4
Rana_berlandieri.ASV181,4
Rana_berlandieri.ASV197,4
Rana_berlandieri.ASV214,4
Rana_berlandieri.ASV218,4
Rana_berlandieri.ASV225,4
Rana_berlandieri.ASV2442,4
Rana_berlandieri.ASV260,4
Rana_berlandieri.ASV261,4
Rana_berlandieri.ASV267,4
Rana_berlandieri.ASV326,4
Rana_berlandieri.ASV338,4
Rana_berlandieri.ASV341,4
Rana_berlandieri.ASV37,4
Rana_berlandieri.ASV565,4
Rana_berlandieri.ASV656,4
Rana_berlandieri.ASV72,4
Rana_berlandieri.ASV8,4
Rana_berlandieri.ASV800,4
Rana_berlandieri.ASV857,4
Rana_berlandieri.ASV101,3
Rana_berlandieri.ASV1012,3
Rana_berlandieri.ASV1046,3
Rana_berlandieri.ASV108,3
Rana_berlandieri.ASV1085,3
Rana_berlandieri.ASV1127,3
Rana_berlandieri.ASV1143,3
Rana_berlandieri.ASV115,3
Rana_berlandieri.ASV123,3
Rana_berlandieri.ASV1296,3
Rana_berlandieri.ASV138,3
Rana_berlandieri.ASV1381,3
Rana_berlandieri.ASV1389,3
Rana_berlandieri.ASV1414,3
Rana_berlandieri.ASV153,3
Rana_berlandieri.ASV1553,3
Rana_berlandieri.ASV156,3
Rana_berlandieri.ASV16,3
Rana_berlandieri.ASV1610,3
Rana_berlandieri.ASV162,3
Rana_berlandieri.ASV176,3
Rana_berlandieri.ASV1761,3
Rana_berlandieri.ASV1806,3
Rana_berlandieri.ASV1893,3
Rana_berlandieri.ASV19,3
Rana_berlandieri.ASV199,3
Rana_berlandieri.ASV21,3
Rana_berlandieri.ASV2128,3
Rana_berlandieri.ASV220,3
Rana_berlandieri.ASV233,3
Rana_berlandieri.ASV243,3
Rana_berlandieri.ASV247,3
Rana_berlandieri.ASV286,3
Rana_berlandieri.ASV2881,3
Rana_berlandieri.ASV299,3
Rana_berlandieri.ASV3,3
Rana_berlandieri.ASV30,3
Rana_berlandieri.ASV301,3
Rana_berlandieri.ASV318,3
Rana_berlandieri.ASV321,3
Rana_berlandieri.ASV328,3
Rana_berlandieri.ASV343,3
Rana_berlandieri.ASV3555,3
Rana_berlandieri.ASV3597,3
Rana_berlandieri.ASV390,3
